epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,804.387,1.32999,1.42565,1.1969,0.76046,0.45451,0.47829,0.29596,1.1987,3.31978,1.03697,0.000546036,0.000546036,0.000546036
123,811.378,1.3128,1.47867,1.18127,0.80381,0.4004,0.48026,0.30366,1.19611,3.28654,1.02781,0.000543037,0.000543037,0.000543037
124,817.192,1.33364,1.44504,1.19136,0.77884,0.41239,0.46046,0.29622,1.19778,4.04314,1.01148,0.000540037,0.000540037,0.000540037
125,824.817,1.31358,1.47098,1.18147,0.74831,0.40697,0.43499,0.27647,1.17897,4.00781,1.00534,0.000537037,0.000537037,0.000537037
126,830.486,1.39803,1.53054,1.22861,0.78849,0.45169,0.45922,0.30179,1.10741,3.65879,0.97759,0.000534037,0.000534037,0.000534037
127,837.909,1.32951,1.47819,1.18252,0.74557,0.43397,0.47152,0.30647,1.13712,4.01012,0.97693,0.000531038,0.000531038,0.000531038
128,843.884,1.27596,1.34901,1.1621,0.73565,0.41231,0.47972,0.30847,1.15756,3.86689,0.98644,0.000528038,0.000528038,0.000528038
129,850.847,1.32767,1.44672,1.15053,0.74099,0.41828,0.45714,0.28689,1.13913,3.89345,0.98641,0.000525038,0.000525038,0.000525038
130,856.866,1.25975,1.37395,1.17172,0.73108,0.39514,0.45464,0.29094,1.1404,3.21457,0.98707,0.000522039,0.000522039,0.000522039
131,863.4,1.24813,1.43137,1.16242,0.75395,0.45147,0.49462,0.3213,1.14165,4.22283,0.98579,0.000519039,0.000519039,0.000519039
132,869.954,1.28159,1.41533,1.19055,0.70989,0.47516,0.50208,0.32891,1.14504,5.30865,0.98597,0.000516039,0.000516039,0.000516039
133,876.072,1.25723,1.34564,1.14665,0.80171,0.43783,0.50629,0.33542,1.14319,5.44405,0.9788,0.00051304,0.00051304,0.00051304
134,883.535,1.30598,1.41662,1.17928,0.81316,0.41923,0.47727,0.31631,1.14142,3.91859,0.97547,0.00051004,0.00051004,0.00051004
135,889.051,1.27213,1.37338,1.12614,0.79785,0.4326,0.46982,0.31045,1.17432,2.55302,0.98916,0.00050704,0.00050704,0.00050704
136,896.475,1.26123,1.3421,1.1702,0.82667,0.40537,0.46827,0.30368,1.17545,2.50069,1.00661,0.00050404,0.00050404,0.00050404
137,902.293,1.25864,1.34999,1.13116,0.7724,0.45476,0.48076,0.31868,1.09536,2.66041,0.97193,0.000501041,0.000501041,0.000501041
138,909.707,1.29208,1.33131,1.16436,0.81918,0.43934,0.48781,0.32417,1.0976,3.11414,0.95253,0.000498041,0.000498041,0.000498041
